문장,class1(input),class2(output),class3(model),s_n
제가 찍은 캠핑장 사진에서는 어떤 캠핑용품들과 야생동물들이 있나요?,image,Object_detection,Yolo,1
"이 영화 속에서 등장하는 의상과 악세서리들을 구분하고, 각각이 어디에 위치해 있는지 알려주세요.",image,Object_detection,Yolo,1
"제가 찍은 가을 풍경 사진에서는 어떤 나무와 잎들이 있는지 구분하고, 각각이 어디에 위치해 있는지도 알려주세요.",image,Object_detection,Yolo,1
"이 영상에서 등장하는 인물들과 사물들을 구분하고, 어디에 위치해 있는지 알려주세요.",image,Object_detection,Yolo,1
"제가 찍은 해외 거리 사진에서는 어떤 사람들과 건물들이 있는지 구분하고, 각각이 어디에 위치해 있는지도 알려주세요.",image,Object_detection,Yolo,1
"이 노래의 뮤직비디오에서 나오는 출연진들을 구분하고, 각각이 어디에 위치해 있는지 알려주세요.",image,Object_detection,Yolo,1
"제가 찍은 산속 사진에서는 어떤 동물과 식물들이 있는지 구분하고, 각각이 어디에 위치해 있는지도 알려주세요.",image,Object_detection,Yolo,1
"이 영화 속에서 등장하는 자동차와 오토바이를 구분하고, 각각이 어디에 위치해 있는지 알려주세요.",image,Object_detection,Yolo,1
"제가 찍은 도시 사진에서는 어떤 건물과 인물들이 있는지 구분하고, 각각이 어디에 위치해 있는지도 알려주세요.",image,Object_detection,Yolo,1
"이 드라마에서 등장하는 배경과 인물들을 구분하고, 어디에 위치해 있는지 알려주세요.",image,Object_detection,Yolo,1
"제가 찍은 해변 사진에서는 어떤 파도와 모래사장, 구름이 있는지 구분하고, 각각이 어디에 위치해 있는지도 알려주세요.",image,Object_detection,Yolo,1
"이 소설에서 등장하는 도시와 건물들을 구분하고, 어디에 위치해 있는지 알려주세요.",image,Object_detection,Yolo,1
"제가 찍은 공원 사진에서는 어떤 나무와 꽃들이 있는지 구분하고, 각각이 어디에 위치해 있는지도 알려주세요.",image,Object_detection,Yolo,1
"이 영화 속에서 등장하는 도시들과 건물들을 구분하고, 어디에 위치해 있는지 알려주세요.",image,Object_detection,Yolo,1
내가 찍은 여름 바다 사진에서 물고기가 어디에 있는지 알려줘.,image,Object_detection,Yolo,1
이 사진에서 자동차 모델을 분류하고 그 차량이 어디쯤 위치하는지 알 수 있을까?,image,Object_detection,Yolo,1
내 생일 파티 사진에서 누가 어디에 서 있었는지 찾아줘.,image,Object_detection,Yolo,1
공원에서 찍은 사진에서 강아지들의 위치를 알려주세요.,image,Object_detection,Yolo,1
내 친구가 찍은 자연 풍경 사진에서 산의 이름을 알려줄 수 있을까요?,image,Object_detection,Yolo,1
카페에서 찍은 사진에서 어떤 커피가 어디에 놓여있는지 찾아줄 수 있을까요?,image,Object_detection,Yolo,1
스포츠 경기 사진에서 선수들의 위치를 알려주세요.,image,Object_detection,Yolo,1
야외 캠핑 사진에서 텐트와 캠프 파이어의 위치를 알려주세요.,image,Object_detection,Yolo,1
쇼핑몰에서 찍은 사진에서 어떤 브랜드의 제품이 어디에 위치해 있는지 알려주세요.,image,Object_detection,Yolo,1
도심의 건물 사진에서 어떤 건물이 어디에 있는지 알려주세요.,image,Object_detection,Yolo,1
사진에서 어디에 보트가 있는지 찾아주세요.,image,Object_detection,Yolo,1
동물원 사진에서 동물들의 위치와 종류를 알려주세요.,image,Object_detection,Yolo,1
사진에서 어디에 산책로가 있는지 알려주세요.,image,Object_detection,Yolo,1
가족 사진에서 누가 어디에 있는지 알려주세요.,image,Object_detection,Yolo,1
도시 전경 사진에서 어디가 서울인지 알려주세요.,image,Object_detection,Yolo,1
가족 여행 사진에서 내 강아지가 어디에 누워 있는지 알려주세요.,image,Object_detection,Yolo,1
해외 여행 사진에서 엠파이어스테이트 빌딩이 어느 건물인지 알려주세요.,image,Object_detection,Yolo,1
유적지 사진에서 어떤 유적지인지 알려주세요.,image,Object_detection,Yolo,1
식당 사진에서 어떤 음식이 어디에 있는지 알려주세요.,image,Object_detection,Yolo,1
도심 사진에서 어디가 번화가인지 알려주세요.,image,Object_detection,Yolo,1
사진에서 인물들의 위치를 찾아줄 수 있을까요?,image,Object_detection,Yolo,1
이 사진에서 어떤 사물들이 있나요?,image,Object_detection,Yolo,1
이 동영상 속 사물들을 하나씩 분류해주세요.,image,Object_detection,Yolo,1
사진에 있는 모든 동물들을 분류해주세요.,image,Object_detection,Yolo,1
